model_name,model_path,rouge1,rouge2,rougeL,rougeLsum,max_toxicity,mean_toxicity,num_samples
base,google/gemma-3-1b-it,0.05382018479033405,0.012686567164179105,0.050799573560767586,0.050778843875858806,0.2769033908843994,0.008073968350745689,134
sft,models/sft_final,0.04449182658137882,0.022388059701492536,0.04442075337597726,0.042786069651741296,0.4006431996822357,0.006566376412294304,134
grpo,models/grpo_final,0.06380597014925374,0.022388059701492536,0.06268656716417911,0.06268656716417911,0.17347703874111176,0.006231062917417583,134
